NÂ°,CODIGO INFRACCION,TIPO DE VIA,LUGAR DE INTERVENCION,EMPRESA DE TRANSPORTE,CLUSTER
1,U04,CALLE,BELLAVISTA,DISTRIBUIDORA PACI SRL.,66
2,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC,104
3,U11,CALLE,GENERAL SUAREZ,DISTRIBUCIONES ROBASA,5
5,U11,CALLE,ARICA,TRANSP. FABRICIO Y KATHERINE SAC.,6
6,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,5
7,R15,AVENIDA,ALFREDO BENAVIDES,DIAZ ZUMAETA YURI,40
8,U11,CALLE,CONTRALMIRANTE MONTERO,CHOICE EQUIPOS Y SERVICIOS SAC.,6
9,U07,AVENIDA,RICARDO PALMA,DISTRIBUCIONES ROBASA SAC.,154
10,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC.,5
13,U11,CALLE,CONTRALMIRANTE MONTERO,E.T. DECOLF. SRL.,6
14,U07,AVENIDA,PASEO DE LA REP.,RANSA COMERCIAL SA.,113
16,U07,CALLE,MANCO CAPAC,TRANASPORTE QULLA SAC.,155
17,U04,CALLE,LAS DALIAS,DISTRIBUCIONES ROBASA SAC.,5
18,U07,CALLE,JOSE GALVEZ,INVERSIONES NAT EIRL.,155
22,U04,CALLE,CONTRALMIRANTE MONTERO,TRANSPORTES 77 SA.,66
23,U04,CALLE,GENERAL SUAREZ,DISTRIBUIDORA PACI SRL.,5
24,U11,CALLE,BERLIN,M.R Y Z.R. TRANSPORTES Y SERVICIOS,6
25,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,6
26,U11,AVENIDA,PASEO DE LA REP.,SERVICIOS DE CARGA JM SAC.,96
27,U04,AVENIDA,DIEZ CANSECO,TRANSPORTES 77 SA.,50
29,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC.,5
33,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
42,U11,AVENIDA,PASEO DE LA REP.,DISTRIBUIDORA PACI SRL.,96
56,R12,AVENIDA,RICARDO PALMA,MOLI TOURS EIRL.,100
57,U07,CALLE,SAN MARTIN,TRANSPORTES INTERVEGA SAC.,135
58,U07,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC,155
60,U07,AVENIDA,PETIT THOUARS,COMERCIALIZADORA CANAN,49
